year,era,team,position,finish,reached,matches,wins,draws,losses,goals_for,goals_against,gf_pg,ga_pg,gd_pg,note
1978,1962-1982,Scotland,,Field,Group stage,3,1,1,1,5,6,1.667,2.0,-0.333,
1978,1962-1982,Spain,,Field,Group stage,3,1,1,1,2,2,0.667,0.667,0.0,
1978,1962-1982,Sweden,,Field,Group stage,3,0,1,2,1,3,0.333,1.0,-0.667,
1978,1962-1982,Tunisia,,Field,Group stage,3,1,1,1,3,2,1.0,0.667,0.333,
1978,1962-1982,West Germany,,Field,2nd group stage,6,1,4,1,10,5,1.667,0.833,0.834,
1982,1962-1982,Italy,1.0,Champion,Final,7,4,3,0,12,6,1.714,0.857,0.857,
1982,1962-1982,West Germany,2.0,Runner-up,Final,7,4,1,2,12,10,1.714,1.429,0.285,
1982,1962-1982,Poland,3.0,Third,Semi-finals,7,3,3,1,11,5,1.571,0.714,0.857,
1982,1962-1982,France,4.0,Field,Semi-finals,7,3,1,3,16,12,2.286,1.714,0.572,
1982,1962-1982,Algeria,,Field,Group stage,3,2,0,1,5,5,1.667,1.667,0.0,
1982,1962-1982,Argentina,,Field,2nd group stage,5,2,0,3,8,7,1.6,1.4,0.2,
1982,1962-1982,Austria,,Field,2nd group stage,5,2,1,2,5,4,1.0,0.8,0.2,
1982,1962-1982,Belgium,,Field,2nd group stage,5,2,1,2,3,5,0.6,1.0,-0.4,
1982,1962-1982,Brazil,,Field,2nd group stage,5,4,0,1,15,6,3.0,1.2,1.8,"Beautiful, prolific, and knocked out — the cautionary tale."
1982,1962-1982,Cameroon,,Field,Group stage,3,0,3,0,1,1,0.333,0.333,0.0,
1982,1962-1982,Chile,,Field,Group stage,3,0,0,3,3,8,1.0,2.667,-1.667,
1982,1962-1982,Czechoslovakia,,Field,Group stage,3,0,2,1,2,4,0.667,1.333,-0.666,
1982,1962-1982,El Salvador,,Field,Group stage,3,0,0,3,1,13,0.333,4.333,-4.0,
1982,1962-1982,England,,Field,2nd group stage,5,3,2,0,6,1,1.2,0.2,1.0,
1982,1962-1982,Honduras,,Field,Group stage,3,0,2,1,2,3,0.667,1.0,-0.333,
1982,1962-1982,Hungary,,Field,Group stage,3,1,1,1,12,6,4.0,2.0,2.0,
1982,1962-1982,Kuwait,,Field,Group stage,3,0,1,2,2,6,0.667,2.0,-1.333,
1982,1962-1982,New Zealand,,Field,Group stage,3,0,0,3,2,12,0.667,4.0,-3.333,
1982,1962-1982,Northern Ireland,,Field,2nd group stage,5,1,3,1,5,7,1.0,1.4,-0.4,
1982,1962-1982,Peru,,Field,Group stage,3,0,2,1,2,6,0.667,2.0,-1.333,
1982,1962-1982,Scotland,,Field,Group stage,3,1,1,1,8,8,2.667,2.667,0.0,
1982,1962-1982,Soviet Union,,Field,2nd group stage,5,2,2,1,7,4,1.4,0.8,0.6,
1982,1962-1982,Spain,,Field,2nd group stage,5,1,2,2,4,5,0.8,1.0,-0.2,
1982,1962-1982,Yugoslavia,,Field,Group stage,3,1,1,1,2,2,0.667,0.667,0.0,
1986,1986-2002,Argentina,1.0,Champion,Final,7,6,1,0,14,5,2.0,0.714,1.286,
1986,1986-2002,West Germany,2.0,Runner-up,Final,7,4,1,2,8,7,1.143,1.0,0.143,
1986,1986-2002,France,3.0,Third,Semi-finals,7,5,1,1,12,6,1.714,0.857,0.857,
1986,1986-2002,Belgium,4.0,Field,Semi-finals,7,3,1,3,12,15,1.714,2.143,-0.429,
1986,1986-2002,Algeria,,Field,Group stage,3,0,1,2,1,5,0.333,1.667,-1.334,
1986,1986-2002,Brazil,,Field,Quarter-finals,5,4,0,1,10,1,2.0,0.2,1.8,
1986,1986-2002,Bulgaria,,Field,Round of 16,4,0,2,2,2,6,0.5,1.5,-1.0,
1986,1986-2002,Canada,,Field,Group stage,3,0,0,3,0,5,0.0,1.667,-1.667,
1986,1986-2002,Denmark,,Field,Round of 16,4,3,0,1,10,6,2.5,1.5,1.0,
1986,1986-2002,England,,Field,Quarter-finals,5,2,1,2,7,3,1.4,0.6,0.8,
1986,1986-2002,Hungary,,Field,Group stage,3,1,0,2,2,9,0.667,3.0,-2.333,
1986,1986-2002,Iraq,,Field,Group stage,3,0,0,3,1,4,0.333,1.333,-1.0,
1986,1986-2002,Italy,,Field,Round of 16,4,1,2,1,5,6,1.25,1.5,-0.25,
1986,1986-2002,Mexico,,Field,Quarter-finals,5,3,1,1,6,2,1.2,0.4,0.8,
1986,1986-2002,Morocco,,Field,Round of 16,4,1,2,1,3,2,0.75,0.5,0.25,
1986,1986-2002,Northern Ireland,,Field,Group stage,3,0,1,2,2,6,0.667,2.0,-1.333,
1986,1986-2002,Paraguay,,Field,Round of 16,4,1,2,1,4,6,1.0,1.5,-0.5,
1986,1986-2002,Poland,,Field,Round of 16,4,1,1,2,1,7,0.25,1.75,-1.5,
1986,1986-2002,Portugal,,Field,Group stage,3,1,0,2,2,4,0.667,1.333,-0.666,
1986,1986-2002,Scotland,,Field,Group stage,3,0,1,2,1,3,0.333,1.0,-0.667,
1986,1986-2002,South Korea,,Field,Group stage,3,0,1,2,4,7,1.333,2.333,-1.0,
1986,1986-2002,Soviet Union,,Field,Round of 16,4,2,1,1,12,5,3.0,1.25,1.75,
1986,1986-2002,Spain,,Field,Quarter-finals,5,3,0,2,11,4,2.2,0.8,1.4,
1986,1986-2002,Uruguay,,Field,Round of 16,4,0,2,2,2,8,0.5,2.0,-1.5,
1990,1986-2002,West Germany,1.0,Champion,Final,7,6,1,0,15,5,2.143,0.714,1.429,
1990,1986-2002,Argentina,2.0,Runner-up,Final,7,4,1,2,5,4,0.714,0.571,0.143,
1990,1986-2002,Italy,3.0,Third,Semi-finals,7,6,0,1,10,2,1.429,0.286,1.143,
1990,1986-2002,England,4.0,Field,Semi-finals,7,3,2,2,8,6,1.143,0.857,0.286,
1990,1986-2002,Austria,,Field,Group stage,3,1,0,2,2,3,0.667,1.0,-0.333,
1990,1986-2002,Belgium,,Field,Round of 16,4,2,0,2,6,4,1.5,1.0,0.5,
1990,1986-2002,Brazil,,Field,Round of 16,4,3,0,1,4,2,1.0,0.5,0.5,
1990,1986-2002,Cameroon,,Field,Quarter-finals,5,3,0,2,7,9,1.4,1.8,-0.4,
1990,1986-2002,Colombia,,Field,Round of 16,4,1,1,2,4,4,1.0,1.0,0.0,
1990,1986-2002,Costa Rica,,Field,Round of 16,4,2,0,2,4,6,1.0,1.5,-0.5,
1990,1986-2002,Czechoslovakia,,Field,Quarter-finals,5,3,0,2,10,5,2.0,1.0,1.0,
1990,1986-2002,Egypt,,Field,Group stage,3,0,2,1,1,2,0.333,0.667,-0.334,
1990,1986-2002,Netherlands,,Field,Round of 16,4,0,3,1,3,4,0.75,1.0,-0.25,
1990,1986-2002,Republic of Ireland,,Field,Quarter-finals,5,1,3,1,2,3,0.4,0.6,-0.2,
1990,1986-2002,Romania,,Field,Round of 16,4,1,1,2,4,3,1.0,0.75,0.25,
1990,1986-2002,Scotland,,Field,Group stage,3,1,0,2,2,3,0.667,1.0,-0.333,
1990,1986-2002,South Korea,,Field,Group stage,3,0,0,3,1,6,0.333,2.0,-1.667,
1990,1986-2002,Soviet Union,,Field,Group stage,3,1,0,2,4,4,1.333,1.333,0.0,
1990,1986-2002,Spain,,Field,Round of 16,4,2,1,1,6,4,1.5,1.0,0.5,
1990,1986-2002,Sweden,,Field,Group stage,3,0,0,3,3,6,1.0,2.0,-1.0,
1990,1986-2002,United Arab Emirates,,Field,Group stage,3,0,0,3,2,11,0.667,3.667,-3.0,
1990,1986-2002,United States,,Field,Group stage,3,0,0,3,2,8,0.667,2.667,-2.0,
1990,1986-2002,Uruguay,,Field,Round of 16,4,1,1,2,2,5,0.5,1.25,-0.75,
1990,1986-2002,Yugoslavia,,Field,Quarter-finals,5,3,0,2,8,6,1.6,1.2,0.4,
1994,1986-2002,Brazil,1.0,Champion,Final,7,6,1,0,11,3,1.571,0.429,1.142,"Romario up top, an iron defense behind — won on penalties."
1994,1986-2002,Italy,2.0,Runner-up,Final,7,4,1,2,8,5,1.143,0.714,0.429,
1994,1986-2002,Sweden,3.0,Third,Semi-finals,7,4,2,1,15,8,2.143,1.143,1.0,
1994,1986-2002,Bulgaria,4.0,Field,Semi-finals,7,4,0,3,10,11,1.429,1.571,-0.142,
1994,1986-2002,Argentina,,Field,Round of 16,4,2,0,2,8,6,2.0,1.5,0.5,
1994,1986-2002,Belgium,,Field,Round of 16,4,2,0,2,4,4,1.0,1.0,0.0,
1994,1986-2002,Bolivia,,Field,Group stage,3,0,1,2,1,4,0.333,1.333,-1.0,
1994,1986-2002,Cameroon,,Field,Group stage,3,0,1,2,3,11,1.0,3.667,-2.667,
1994,1986-2002,Colombia,,Field,Group stage,3,1,0,2,4,5,1.333,1.667,-0.334,
1994,1986-2002,Germany,,Field,Quarter-finals,5,3,1,1,9,7,1.8,1.4,0.4,
1994,1986-2002,Greece,,Field,Group stage,3,0,0,3,0,10,0.0,3.333,-3.333,
1994,1986-2002,Mexico,,Field,Round of 16,4,1,1,2,4,4,1.0,1.0,0.0,
1994,1986-2002,Morocco,,Field,Group stage,3,0,0,3,2,5,0.667,1.667,-1.0,
1994,1986-2002,Netherlands,,Field,Quarter-finals,5,3,0,2,8,6,1.6,1.2,0.4,
1994,1986-2002,Nigeria,,Field,Round of 16,4,2,0,2,7,4,1.75,1.0,0.75,
1994,1986-2002,Norway,,Field,Group stage,3,1,1,1,1,1,0.333,0.333,0.0,
1994,1986-2002,Republic of Ireland,,Field,Round of 16,4,1,1,2,2,4,0.5,1.0,-0.5,
1994,1986-2002,Romania,,Field,Quarter-finals,5,3,0,2,10,9,2.0,1.8,0.2,
1994,1986-2002,Russia,,Field,Group stage,3,1,0,2,7,6,2.333,2.0,0.333,
1994,1986-2002,Saudi Arabia,,Field,Round of 16,4,2,0,2,5,6,1.25,1.5,-0.25,
1994,1986-2002,South Korea,,Field,Group stage,3,0,2,1,4,5,1.333,1.667,-0.334,
1994,1986-2002,Spain,,Field,Quarter-finals,5,2,2,1,10,6,2.0,1.2,0.8,
1994,1986-2002,Switzerland,,Field,Round of 16,4,1,1,2,5,7,1.25,1.75,-0.5,
1994,1986-2002,United States,,Field,Round of 16,4,1,1,2,3,4,0.75,1.0,-0.25,
1998,1986-2002,France,1.0,Champion,Final,7,7,0,0,15,2,2.143,0.286,1.857,Hosts crowned on a back line that barely conceded.
1998,1986-2002,Brazil,2.0,Runner-up,Final,7,5,0,2,14,10,2.0,1.429,0.571,
1998,1986-2002,Croatia,3.0,Third,Semi-finals,7,5,0,2,11,5,1.571,0.714,0.857,
1998,1986-2002,Netherlands,4.0,Field,Semi-finals,7,3,2,2,13,7,1.857,1.0,0.857,
1998,1986-2002,Argentina,,Field,Quarter-finals,5,4,0,1,10,4,2.0,0.8,1.2,
1998,1986-2002,Austria,,Field,Group stage,3,0,2,1,3,4,1.0,1.333,-0.333,
1998,1986-2002,Belgium,,Field,Group stage,3,0,3,0,3,3,1.0,1.0,0.0,
1998,1986-2002,Bulgaria,,Field,Group stage,3,0,1,2,1,7,0.333,2.333,-2.0,
1998,1986-2002,Cameroon,,Field,Group stage,3,0,2,1,2,5,0.667,1.667,-1.0,
1998,1986-2002,Chile,,Field,Round of 16,4,0,3,1,5,8,1.25,2.0,-0.75,
1998,1986-2002,Colombia,,Field,Group stage,3,1,0,2,1,3,0.333,1.0,-0.667,
1998,1986-2002,Denmark,,Field,Quarter-finals,5,2,1,2,9,7,1.8,1.4,0.4,
1998,1986-2002,England,,Field,Round of 16,4,2,0,2,7,4,1.75,1.0,0.75,
1998,1986-2002,Germany,,Field,Quarter-finals,5,3,1,1,8,6,1.6,1.2,0.4,
1998,1986-2002,Iran,,Field,Group stage,3,1,0,2,2,4,0.667,1.333,-0.666,
1998,1986-2002,Italy,,Field,Quarter-finals,5,3,1,1,8,3,1.6,0.6,1.0,
1998,1986-2002,Jamaica,,Field,Group stage,3,1,0,2,3,9,1.0,3.0,-2.0,
1998,1986-2002,Japan,,Field,Group stage,3,0,0,3,1,4,0.333,1.333,-1.0,
1998,1986-2002,Mexico,,Field,Round of 16,4,1,2,1,8,7,2.0,1.75,0.25,
1998,1986-2002,Morocco,,Field,Group stage,3,1,1,1,5,5,1.667,1.667,0.0,
1998,1986-2002,Nigeria,,Field,Round of 16,4,2,0,2,6,9,1.5,2.25,-0.75,
1998,1986-2002,Norway,,Field,Round of 16,4,1,2,1,5,5,1.25,1.25,0.0,
1998,1986-2002,Paraguay,,Field,Round of 16,4,1,2,1,3,2,0.75,0.5,0.25,
1998,1986-2002,Romania,,Field,Round of 16,4,2,1,1,4,3,1.0,0.75,0.25,
1998,1986-2002,Saudi Arabia,,Field,Group stage,3,0,1,2,2,7,0.667,2.333,-1.666,
1998,1986-2002,Scotland,,Field,Group stage,3,0,1,2,2,6,0.667,2.0,-1.333,
1998,1986-2002,South Africa,,Field,Group stage,3,0,2,1,3,6,1.0,2.0,-1.0,
1998,1986-2002,South Korea,,Field,Group stage,3,0,1,2,2,9,0.667,3.0,-2.333,
1998,1986-2002,Spain,,Field,Group stage,3,1,1,1,8,4,2.667,1.333,1.334,
1998,1986-2002,Tunisia,,Field,Group stage,3,0,1,2,1,4,0.333,1.333,-1.0,
1998,1986-2002,United States,,Field,Group stage,3,0,0,3,1,5,0.333,1.667,-1.334,
1998,1986-2002,Yugoslavia,,Field,Round of 16,4,2,1,1,5,4,1.25,1.0,0.25,
2002,1986-2002,Brazil,1.0,Champion,Final,7,7,0,0,18,4,2.571,0.571,2.0,
2002,1986-2002,Germany,2.0,Runner-up,Final,7,5,1,1,14,3,2.0,0.429,1.571,
2002,1986-2002,Turkey,3.0,Third,Semi-finals,7,4,1,2,10,6,1.429,0.857,0.572,
2002,1986-2002,South Korea,4.0,Field,Semi-finals,7,4,1,2,8,6,1.143,0.857,0.286,
2002,1986-2002,Argentina,,Field,Group stage,3,1,1,1,2,2,0.667,0.667,0.0,
